City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Bluff,NZ,61.81,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
79,Paka,MY,82.33,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
83,Dingle,PH,87.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
86,Lahaina,US,79.84,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
87,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,New Plymouth,NZ,65.32,overcast clouds,-39.0667,174.0833,Belt Road Seaside Holiday Park
89,Ahipara,NZ,71.62,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
90,Kongolo,CD,68.81,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
91,Rodrigues Alves,BR,73.02,broken clouds,-7.738,-72.6509,Pousada Aconchego
92,Pacasmayo,PE,73.58,scattered clouds,-7.4006,-79.5714,Hotel Libertad
93,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
95,Sanchor,IN,79.84,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
96,Castro,BR,64.15,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
97,Mumford,GH,80.01,broken clouds,5.2618,-0.759,Spanish Villa
98,Sola,VU,82.69,overcast clouds,-13.8833,167.55,Leumerus Bungalows
99,Bandarbeyla,SO,76.93,overcast clouds,9.4942,50.8122,JABIR HOTEL
100,Kassala,SD,68.58,broken clouds,15.451,36.4,Amassi Hotel Gash
101,Tuatapere,NZ,61.65,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
107,Kruisfontein,ZA,70.48,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
108,Mar Del Plata,AR,60.87,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
109,Manokwari,ID,82.92,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
110,Flinders,AU,76.28,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
111,Port Lincoln,AU,72.68,clear sky,-34.7333,135.8667,Port Lincoln Hotel
113,Waitati,NZ,65.8,broken clouds,-45.75,170.5667,Arden Country House BnB Dunedin
114,Saint-Philippe,RE,74.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Tura,IN,83.8,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
116,Hobyo,SO,77.13,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
117,Vila Franca Do Campo,PT,60.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
121,Shimoda,JP,62.96,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
122,Atuona,PF,78.85,overcast clouds,-9.8,-139.0333,Villa Enata
125,Sechura,PE,75.11,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
126,Izumo,JP,64.35,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
127,Semporna,MY,82.78,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
128,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
