City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Manokwari,ID,-0.8667,134.0833,82.92,75,89,5.03,overcast clouds
110,Flinders,AU,-34.5833,150.8552,76.28,74,100,8.86,overcast clouds
111,Port Lincoln,AU,-34.7333,135.8667,72.68,54,0,12.15,clear sky
112,Bend,US,44.0582,-121.3153,56.48,24,0,4.61,clear sky
113,Waitati,NZ,-45.75,170.5667,65.8,54,62,9.84,broken clouds
114,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,56,9.69,broken clouds
115,Tura,IN,25.5198,90.2201,83.8,18,0,2.53,clear sky
116,Hobyo,SO,5.3505,48.5268,77.13,68,94,12.39,overcast clouds
117,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,94,100,8.97,overcast clouds
118,Poum,NC,-20.2333,164.0167,82.29,71,3,0.98,clear sky
119,Merritt,CA,50.1123,-120.7942,33.75,91,100,6.04,overcast clouds
120,Portland,US,45.5234,-122.6762,55.35,59,0,3.0,clear sky
121,Shimoda,JP,34.6667,138.95,62.96,50,2,1.72,clear sky
122,Atuona,PF,-9.8,-139.0333,78.85,74,100,16.4,overcast clouds
123,Surt,LY,31.2089,16.5887,52.41,65,0,8.59,clear sky
124,Sorland,NO,67.667,12.6934,41.31,81,0,10.54,clear sky
125,Sechura,PE,-5.5569,-80.8222,75.11,75,50,6.4,scattered clouds
126,Izumo,JP,35.3667,132.7667,64.35,72,75,13.8,broken clouds
127,Semporna,MY,4.4818,118.6112,82.78,81,97,1.77,overcast clouds
128,Mahebourg,MU,-20.4081,57.7,79.09,89,40,6.91,scattered clouds
129,Loukhi,RU,66.0764,33.0381,16.65,95,63,4.07,broken clouds
130,Novopokrovka,UA,49.8425,36.5477,7.43,93,6,3.85,clear sky
131,Makakilo City,US,21.3469,-158.0858,77.68,65,9,15.93,clear sky
132,Boende,CD,-0.2167,20.8667,69.19,99,100,2.46,moderate rain
133,Hambantota,LK,6.1241,81.1185,79.14,100,20,3.44,few clouds
134,Hlotse,LS,-28.8718,28.045,56.14,86,1,2.68,clear sky
135,Teknaf,BD,20.8624,92.3058,83.03,32,11,6.29,few clouds
136,Zyryanka,RU,65.75,150.85,4.42,88,100,13.62,overcast clouds
137,Evensk,RU,61.95,159.2333,20.48,83,100,10.94,light snow
138,Pevek,RU,69.7008,170.3133,5.45,75,0,1.83,clear sky
139,Ambilobe,MG,-13.2,49.05,71.58,95,97,1.59,overcast clouds
140,Butaritari,KI,3.0707,172.7902,81.95,77,17,18.14,few clouds
141,Port Augusta,AU,-32.5,137.7667,87.76,15,0,5.3,clear sky
142,Angoche,MZ,-16.2325,39.9086,78.26,88,100,12.17,light rain
143,Kaeo,NZ,-35.1,173.7833,73.29,56,94,6.38,overcast clouds
144,Hithadhoo,MV,-0.6,73.0833,82.06,65,8,4.94,clear sky
145,Swan River,CA,52.1058,-101.2676,-4.11,71,86,11.5,overcast clouds
146,Kidal,ML,18.4411,1.4078,70.99,16,0,11.88,clear sky
147,Sharjah,AE,25.3573,55.4033,78.78,60,0,3.44,clear sky
148,Wagar,SD,16.1525,36.2032,67.75,76,23,12.57,few clouds
149,Lagoa,PT,39.05,-27.9833,56.52,75,100,13.71,overcast clouds
150,Victoria,HK,22.2855,114.1577,77.05,71,4,3.0,clear sky
151,Sault Sainte Marie,CA,46.5168,-84.3333,12.76,67,75,12.66,broken clouds
152,Viedma,AR,-40.8135,-62.9967,60.22,70,0,14.81,clear sky
153,Berlevag,NO,70.8578,29.0864,31.89,81,100,11.01,overcast clouds
154,Carnarvon,AU,-24.8667,113.6333,80.67,74,0,11.5,clear sky
155,Vila Do Maio,CV,15.1333,-23.2167,72.39,73,4,18.25,clear sky
156,Souillac,MU,-20.5167,57.5167,79.18,89,40,6.91,scattered clouds
157,Saint-Georges,GD,12.0564,-61.7485,78.48,73,20,11.5,few clouds
158,Longyearbyen,SJ,78.2186,15.6401,4.84,92,0,9.22,clear sky
159,Belmonte,BR,-15.8631,-38.8828,77.16,82,10,3.62,clear sky
160,Znamenskoye,RU,57.1281,73.8282,-7.06,99,90,4.16,overcast clouds
161,Tsumeb,NA,-19.2333,17.7167,66.02,81,98,6.4,overcast clouds
162,Yuanlin,CN,30.4151,112.8859,70.86,66,100,10.54,overcast clouds
163,Kamenka,RU,51.3223,42.7678,-11.33,100,100,5.48,overcast clouds
164,Port Elizabeth,ZA,-33.918,25.5701,68.29,88,0,8.05,clear sky
165,Linxia,CN,35.6003,103.2064,52.88,36,100,2.26,overcast clouds
166,Leningradskiy,RU,69.3833,178.4167,9.01,76,0,0.4,clear sky
167,Clyde River,CA,70.4692,-68.5914,-27.17,68,0,0.0,clear sky
168,Alizai,PK,33.5383,70.3462,65.77,42,100,3.29,overcast clouds
169,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,6.91,scattered clouds
170,Anastacio,BR,-20.4836,-55.8069,73.06,97,100,2.28,light rain
171,Pacific Grove,US,36.6177,-121.9166,57.02,84,0,3.0,clear sky
172,Grand Gaube,MU,-20.0064,57.6608,79.2,88,46,1.01,scattered clouds
173,Alekseyevsk,RU,57.8406,108.3492,4.41,90,100,3.02,overcast clouds
174,Cape Town,ZA,-33.9258,18.4232,73.11,88,0,2.3,clear sky
175,San Juan,AR,-31.5375,-68.5364,69.44,33,19,1.57,few clouds
176,Chuy,UY,-33.6971,-53.4616,57.76,79,0,7.16,clear sky
177,Bengkulu,ID,-3.8004,102.2655,83.88,67,71,5.12,broken clouds
178,Ola,RU,59.5833,151.2833,34.14,68,23,5.66,few clouds
179,Kodiak,US,57.79,-152.4072,37.08,93,100,10.25,overcast clouds
180,Coquimbo,CL,-29.9533,-71.3436,60.53,88,75,2.3,broken clouds
181,Mokhsogollokh,RU,61.4681,128.9203,5.79,87,100,1.81,overcast clouds
182,Tsilna,RU,54.5953,48.1414,-2.65,100,100,3.87,overcast clouds
183,Necochea,AR,-38.5473,-58.7368,54.55,74,0,4.21,clear sky
184,Sambava,MG,-14.2667,50.1667,75.33,90,100,7.31,overcast clouds
185,Dobryanka,RU,58.4619,56.4165,-1.25,97,46,2.89,scattered clouds
186,Udachnyy,RU,66.4167,112.4,-10.68,92,100,2.91,overcast clouds
187,Yellowknife,CA,62.456,-114.3525,0.41,88,100,6.91,light snow
188,Bredasdorp,ZA,-34.5322,20.0403,65.52,88,0,4.61,clear sky
189,Maddela,PH,16.3414,121.6849,76.55,95,100,3.18,overcast clouds
190,New Norfolk,AU,-42.7826,147.0587,72.91,34,98,5.01,overcast clouds
191,Tyrma,RU,50.0833,132.1667,21.81,79,100,4.25,overcast clouds
192,La Ronge,CA,55.1001,-105.2842,3.45,51,75,5.75,broken clouds
193,Hualmay,PE,-11.0964,-77.6139,73.35,76,68,5.91,broken clouds
194,Hasaki,JP,35.7333,140.8333,64.8,55,2,9.22,clear sky
195,Sitka,US,57.0531,-135.33,38.17,97,100,5.46,light rain
196,Le Port,RE,-20.9373,55.2919,76.24,74,88,4.54,overcast clouds
197,Bitung,ID,1.4451,125.1824,92.25,67,81,4.81,broken clouds
198,Qaqortoq,GL,60.7167,-46.0333,1.44,85,96,2.73,overcast clouds
199,Chapais,CA,49.7834,-74.8492,15.58,95,100,5.66,overcast clouds
200,Endicott,US,42.0984,-76.0494,48.0,73,100,7.0,overcast clouds
201,Kurchum,KZ,48.5722,83.6542,21.16,90,99,1.52,overcast clouds
202,Kirakira,SB,-10.4544,161.9205,83.53,76,95,3.65,moderate rain
203,Guba,PH,10.3131,123.2667,83.95,67,100,5.48,overcast clouds
204,Acapulco,MX,16.8634,-99.8901,76.82,73,0,13.8,clear sky
